"Annual_Mean_Temperature","Annual_Precipitation","BulkDensity","CoarseFragments","Elevation","EVI_mean","Isothermality","landcover_class","landscape_diversity_shdi","Max_Temperature_Warmest_Month","Mean_Diurnal_Range","Mean_Temperature_Coldest_Quarter","Mean_Temperature_Driest_Quarter","Mean_Temperature_Warmest_Quarter","Mean_Temperature_Wettest_Quarter","Min_Temperature_Coldest_Month","NDVI_mean","Nitrogen","Precipitation_Coldest_Quarter","Precipitation_Driest_Month","Precipitation_Driest_Quarter","Precipitation_Seasonality","Precipitation_Warmest_Quarter","Precipitation_Wettest_Month","Precipitation_Wettest_Quarter","SandContent","SiltContent","Slope","SoilOrganicCarbon","SoilpH","Temperature_Annual_Range","Temperature_Seasonality","Longitude","Latitude","Presence"
13.5583333969116,10.2333335876465,1.29999995231628,13,346.999603271484,0.259632050991058,2.93333339691162,"50",1.33217904021012,73,24.3166675567627,69,69,154,191,20,0.264207482337952,2.79999995231628,2.93333339691162,869.432495117188,33.7000007629395,31.7000007629395,17.7999992370605,30.3659744262695,-2,24,44,3,35,6.90000009536743,41.1231498718262,478,44.990808,41.547787,1
12.6833333969116,9.75,1.29999995231628,13,440.999633789062,0.294639676809311,2.5,"50",0.562335144618808,80,22.75,78,78,168,208,22,0.293645560741425,3.70000004768372,2.5,827.919982910156,31.6000003814697,29.6000003814697,16.6666660308838,30.8544292449951,-2,19,45,2.99980306625366,34.2999992370605,6.90000009536743,40.0430526733398,529,44.774851,41.806106,1
12.2749996185303,10.4833335876465,1.29999995231628,14,699.001953125,0.33307883143425,2.03333330154419,"30",0,100,22.25,85,85,210,261,25,0.327067375183105,4.09999990463257,2.03333330154419,823.546936035156,33.2999992370605,29.3999996185303,16.0666656494141,31.481481552124,-3.90000009536743,24,39,6.00004291534424,52.9000015258789,6.69999980926514,43.4914093017578,647,46.10039,41.41973,1
11.779167175293,10.4416666030884,1.29999995231628,14,696.998474121094,0.391340851783752,1.85000002384186,"30",0.500402423538188,83,21.5,84,84,177,223,25,0.391322076320648,3.90000009536743,1.85000002384186,809.703857421875,32.1000022888184,29.2000007629395,15.3999996185303,32.5285568237305,-2.90000009536743,23,42,20.0000152587891,40.9000015258789,6.80000019073486,38.9546279907227,569,44.54807778,41.84103752,1
11.9958333969116,10.4250001907349,1.29999995231628,11,683.999145507812,0.348919987678528,2.13333320617676,"30",0,91,21.8333339691162,82,82,198,244,23,0.353964775800705,3.79999995231628,2.13333320617676,804.4208984375,31.8999996185303,29.1000003814697,15.75,32.6802520751953,-2.79999995231628,25,42,2.00012373924255,35.2999992370605,6.69999980926514,42.6370811462402,607,45.00836,41.75259,1
11.9333333969116,10.75,1.29999995231628,11,703.00048828125,0.339892953634262,1.89999985694885,"40",0.950270539233235,95,21.8166656494141,87,87,210,256,25,0.341947853565216,3.40000009536743,1.89999985694885,810.115966796875,32.2999992370605,28.8999996185303,15.9333333969116,33.2817344665527,-3.40000009536743,29,41,2.00015759468079,32.7999992370605,6.80000019073486,41.6930389404297,643,45.18493831,41.72598297,1
12.6750001907349,10.5500001907349,1.29999995231628,11,514.999694824219,0.3989437520504,2.51666665077209,"40",0,80,22.8833332061768,70,70,166,205,20,0.400997936725616,2.90000009536743,2.51666665077209,830.228576660156,32.7999992370605,30.2999992370605,16.5166664123535,32.1646347045898,-2.5,23,44,1,33.2999992370605,6.90000009536743,43.4481353759766,507,44.80437,41.604476,1
11.9666662216187,10.4499998092651,1.29999995231628,12,697.999633789062,0.357025384902954,2.13333320617676,"30",0,91,21.7999992370605,82,82,197,244,23,0.361024767160416,3.79999995231628,2.13333320617676,803.394287109375,31.8999996185303,29.1000003814697,15.6999998092651,32.7586212158203,-2.79999995231628,24,44,5.00015687942505,36.5999984741211,6.69999980926514,42.940242767334,604,45.008319,41.751328,1
10.6041669845581,10.3249998092651,1.20000004768372,13,919.999755859375,0.403110712766647,1.19999992847443,"30",0.562335144618808,100,19.8500003814697,86,86,214,263,25,0.402681738138199,4.5,1.19999992847443,766.652893066406,31,26.7000007629395,14.0666666030884,33.3064498901367,-4.30000019073486,29,42,17.9997615814209,47,6.40000009536743,43.8886604309082,649,44.91749225,41.79887379,1
13.5749998092651,10.0666666030884,1.29999995231628,12,318.999816894531,0.331472992897034,2.98333334922791,"10",0,72,24.25,69,69,149,187,20,0.333027780056,3.09999990463257,2.98333334922791,864.221923828125,33.2999992370605,31.3999996185303,17.8166675567627,30.2302303314209,-1.89999997615814,25,41,1.99995768070221,34.7999992370605,6.90000009536743,40.5745010375977,470,45.02389,41.52023,1
11.595832824707,11.2916669845581,1.29999995231628,13,769.000366210938,0.355296313762665,1.96666669845581,"30",0,85,21.2333335876465,73,73,179,227,21,0.359124004840851,3.29999995231628,1.96666669845581,792.987609863281,32.7000007629395,29.1000003814697,14.9666662216187,34.5310897827148,-3.59999990463257,22,42,1.99993050098419,38.7999992370605,6.80000019073486,44.0065307617188,556,44.64661824,41.53695693,1
12.5791664123535,9.80833339691162,1.20000004768372,13,478.999664306641,0.42574068903923,2.28333330154419,"10",0,106,23,99,99,239,283,29,0.422219663858414,4.40000009536743,2.28333330154419,841.271911621094,32.7000007629395,29.3999996185303,16.6499996185303,29.9949035644531,-3.29999995231628,24,43,2.00020265579224,45.2000007629395,6.40000009536743,38.244270324707,756,45.97686656,41.91034968,1
12.4875001907349,9.69166660308838,1.29999995231628,15,464.998413085938,0.309868991374969,2.34999990463257,"10",0.950270539233235,81,22.466667175293,78,78,170,211,22,0.310496747493744,3.90000009536743,2.34999990463257,822.919189453125,31.3999996185303,29.2999992370605,16.4333324432373,30.8651809692383,-2.09999990463257,17,46,6.99980306625366,35.2999992370605,6.90000009536743,40.3263549804688,535,44.77300595,41.81025178,1
12.4875001907349,9.69166660308838,1.29999995231628,15,464.998413085938,0.309868991374969,2.34999990463257,"10",1.05492016798614,81,22.466667175293,78,78,170,211,22,0.310496747493744,3.90000009536743,2.34999990463257,822.919189453125,31.3999996185303,29.2999992370605,16.4333324432373,30.8651809692383,-2.09999990463257,17,46,6.99980306625366,35.2999992370605,6.90000009536743,40.3263549804688,535,44.77359246,41.81478882,1
12.154167175293,9.55833339691162,1.20000004768372,15,480.0009765625,0.539267420768738,1.81666672229767,"10",0,107,22.533332824707,103,103,237,287,31,0.534878671169281,5.69999980926514,1.81666672229767,847.344665527344,32.4000015258789,28.7000007629395,16,29.5010280609131,-3.70000004768372,25,44,4,62.5999984741211,6.09999990463257,36.9799041748047,787,46.3038,41.820447,1
11.2124996185303,9.375,1.10000002384186,16,664.995544433594,0.561510622501373,1.23333334922791,"10",0,107,21.2333335876465,94,94,245,289,28,0.555651307106018,6,1.23333334922791,820.681884765625,31.3999996185303,27.3999996185303,14.9833335876465,29.8566875457764,-4,28,42,8.99955081939697,72.8000030517578,6,40.5741233825684,765,46.281924,41.850671,1
11.8333330154419,9.58333301544189,1.20000004768372,16,588.004272460938,0.500858724117279,1.83333337306976,"10",0,104,22,98,98,241,283,29,0.497920989990234,5.69999980926514,1.83333337306976,827.282897949219,31.8000011444092,28.2000007629395,15.5833330154419,30.136266708374,-3.59999990463257,25,44,26.0002861022949,65.4000015258789,6.09999990463257,38.572998046875,759,46.265563,41.834094,1
11.5208330154419,9.40833377838135,1.20000004768372,15,719.00146484375,0.513381838798523,1.63333344459534,"10",0,105,21.6000003814697,96,96,244,285,29,0.50709342956543,5.5,1.63333344459534,820.572021484375,31.3000011444092,27.7000007629395,15.1999998092651,30.058572769165,-3.59999990463257,26,43,12.0009803771973,65.4000015258789,6.19999980926514,39.5643463134766,761,46.284961,41.835637,1
5.625,8.31666660308838,1,14,1867.99572753906,0.374739795923233,-2.84999990463257,"10",0.299038618803024,126,14.1499996185303,222,204,250,323,64,0.37621808052063,6.59999990463257,-2.56666660308838,707.702758789062,27.3999996185303,20.2999992370605,11.966667175293,30.3527984619141,-7.09999990463257,33,37,26.998893737793,112.800003051758,5.5,21.4716014862061,991,43.1383218971689,41.9238250377495,0
1.07083332538605,7.94166660308838,1.10000002384186,18,2437.99243164062,0.307150095701218,-8.5,"30",0.171294271945953,123,10.3500003814697,121,121,268,352,37,0.303047925233841,5.40000009536743,-8.5,778.423400878906,29.2000007629395,16.1000003814697,7.98333311080933,27.19748878479,-13.1000003814697,28,40,27.9999618530273,86.5999984741211,6.5,42.1545906066895,897,45.5133800939978,42.3557021242847,0
0.483333319425583,8,1,17,2624.0087890625,0.322841942310333,-8.33333301544189,"30",0.298802196979523,129,9.26666641235352,155,155,284,370,47,0.32004189491272,6.30000019073486,-8.33333301544189,729.864013671875,27.8999996185303,14.8999996185303,6.98333311080933,28.6738357543945,-13,27,38,30.0001125335693,90.5,6.40000009536743,36.6427230834961,986,45.2301516842477,42.5879848652953,0
7.62083339691162,10.3249998092651,1.20000004768372,13,1281.9990234375,0.453857421875,-1.66666674613953,"30",0.638303756713867,122,16.5833339691162,94,94,254,316,28,0.463541507720947,4.69999980926514,-1.66666674613953,753.849060058594,30.5,23.7000007629395,10.9499998092651,33.8524589538574,-6.80000019073486,22,40,5.9997353553772,55,6.30000019073486,48.627857208252,749,44.33162680809,41.6548059582292,0
11.8291664123535,8.89166641235352,1,11,253.000839233398,0.59725022315979,3.81666660308838,"10",0.0557165443897247,168,19.9166660308838,402,342,351,462,100,0.602670848369598,9.60000038146973,7.01666641235352,658.339721679688,26.1999988555908,25.2999992370605,8.75,33.9376602172852,-0.899999976158142,28,46,6.0000696182251,116,5.09999990463257,15.1002969741821,1541,41.0455292265914,43.0826995331023,0
5.28749990463257,9.875,1.29999995231628,10,1731.00012207031,0.370242565870285,-4.18333339691162,"30",0.000422558950958773,132,14.3000001907349,122,122,288,344,37,0.378731369972229,4.80000019073486,-4.18333339691162,759.832885742188,30,21.2000007629395,12.25,32.9166641235352,-8.80000019073486,23,39,1.99995839595795,63.9000015258789,6.40000009536743,42.807243347168,861,44.2327235488199,41.6781297082106,0
3.45833325386047,9.89999961853027,1.20000004768372,14,1980.00122070312,0.308700382709503,-6.98333358764648,"30",0.316245198249817,109,13.4499998092651,110,110,176,284,34,0.298080921173096,5,-6.98333358764648,844.925598144531,32.4000015258789,20.6000003814697,10.9499998092651,30.5555553436279,-11.8000001907349,28,41,2.00089573860168,67.4000015258789,6.59999990463257,42.5017890930176,706,43.6421216670847,41.3402877448309,0
14.4166669845581,8.96666622161865,1.10000002384186,10,50.9975166320801,0.543045938014984,6.5,"10",0.258472770452499,183,22.1333332061768,473,346,480,506,98,0.548487901687622,6.80000019073486,13.4333333969116,638.518615722656,25.2000007629395,27.1000003814697,11.4333333969116,35.5820083618164,1.89999997615814,17,45,6.99940967559814,91.6999969482422,5.09999990463257,15.8368616104126,1786,42.066118097209,42.3278194255652,0
10.0083332061768,11.1333332061768,1.20000004768372,16,958.999267578125,0.305624663829803,0.0666666403412819,"30",0.786940574645996,86,19.5666656494141,99,99,135,214,32,0.307373464107513,4.19999980926514,0.0666666403412819,797.435729980469,32.5999984741211,27.5,16.966667175293,34.1513290405273,-5.09999990463257,34,41,7.99918222427368,47.9000015258789,6.69999980926514,37.2241172790527,557,43.0529604805627,41.6175905150351,0
8.54166698455811,10.3166666030884,1.10000002384186,14,1354.001953125,0.476903885602951,-0.383333295583725,"10",0.552932322025299,117,17.4333343505859,131,131,219,315,41,0.474358141422272,5.80000019073486,-0.383333295583725,735.696472167969,29.8000011444092,24.2000007629395,15.0333337783813,34.619686126709,-5.59999990463257,27,38,8.99878597259521,62,6.09999990463257,36.0778656005859,832,44.5223744440946,42.0755297965136,0
14.1041669845581,7.95833349227905,1.10000002384186,10,0.000363812025170773,0.547638535499573,6.61666679382324,"10",0.352268904447556,205,21.783332824707,466,311,524,597,83,0.544109702110291,7,12.6833333969116,619.117614746094,23.7000007629395,26.1000003814697,19.216667175293,33.5794639587402,2.40000009536743,13,42,1,94.4000015258789,5.19999980926514,24.5400085449219,1870,41.6428368503489,42.2192081145274,0
